file:line | hard-coded value | token adopted | FINDING
lab-orbital.css:365 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
lab-orbital.css:378 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
lab-orbital.css:388 | #E8AF38 | var(--saffron) | 
lab-orbital.css:389 | #F8F4E9 | var(--linen) | 
lab-orbital.css:395 | #E8AF38 | var(--saffron) | 
lab-orbital.css:401 | #6E7488 | N/A | FINDING: #6E7488 has no token
library.css:34 | #182848 | N/A | FINDING: Dark blue #182848 not in tokens
library.css:34 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
library.css:502 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
library.css:573 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
library.css:602 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
library.css:754 | #8C6B10 | N/A | FINDING: #8C6B10 has no token
library.css:783 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
library.css:790 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
library.css:798 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
library.css:823 | #e8e6e0 | N/A | FINDING: #E8E6E0 has no token
library.css:823 | #f0ede7 | N/A | FINDING: #F0EDE7 has no token
library.css:823 | #e8e6e0 | N/A | FINDING: #E8E6E0 has no token
library.css:830 | #e8e6e0 | N/A | FINDING: #E8E6E0 has no token
library.css:830 | #f0ede7 | N/A | FINDING: #F0EDE7 has no token
library.css:830 | #e8e6e0 | N/A | FINDING: #E8E6E0 has no token
library.css:924 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
library.css:1090 | #d49b24 | N/A | FINDING: #D49B24 has no token
library.css:1105 | rgba(236,229,211,0.6) | var(--lib-dim) | 
library.css:1120 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
library.css:1168 | #1a1f30 | N/A | FINDING: #1A1F30 has no token
library.css:1210 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
library.css:1414 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
library.css:1436 | #131825 | N/A | FINDING: #131825 has no token
library.css:1449 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
orbital.css:322 | #E8AF38 | var(--saffron) | 
orbital.css:331 | #E8AF38 | var(--saffron) | 
orbital.css:338 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
